indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-07,4015.8211,4003.5826,3955.9939,4017.9465,3971.0569,9025404500,119651201504.0,-44.7642,-0.011147
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-08,3971.0569,3962.828,3955.44,4014.138,4003.379,8928286100,124371230332.3,32.3221,0.008139
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-11,4003.379,4006.878,4005.268,4069.499,4069.499,9714894600,148476588468.5,66.12,0.016516
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-12,4069.499,4068.5053,4015.4546,4070.1503,4016.0163,8433871800,123515183182.0,-53.4827,-0.013142
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-13,4016.0163,4013.831,4004.743,4052.687,4050.092,7754613100,115006383360.3,34.0757,0.008485
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-14,4050.092,4050.902,4013.854,4057.624,4026.151,8076886200,115086944924.2,-23.941,-0.005911
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-15,4026.151,4018.731,3974.927,4020.266,3980.855,8904438900,118474144230.9,-45.296,-0.01125
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-18,3980.855,3983.2965,3967.9343,4008.0688,3985.2914,7785337500,111724349856.0,4.4364,0.001114
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-19,3985.2914,3985.8233,3985.8233,4035.6296,4035.3294,7752898500,115998204342.0,50.038,0.012556
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-20,4035.3294,4036.019,4015.6285,4044.8485,4030.4898,9060450300,126812878124.0,-4.8396,-0.001199
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-21,4030.4898,4023.076,4014.6526,4080.781,4067.8485,9683608900,137819520871.0,37.3587,0.009269
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-22,4067.8485,4064.9131,4048.4913,4076.8028,4054.5984,7347368400,104426496022.0,-13.2501,-0.003257
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-25,4054.5984,4057.4173,4026.4496,4086.9342,4041.5401,9192696200,129938839152.0,-13.0583,-0.003221
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-26,4041.5401,4040.6173,4015.2996,4056.8554,4053.6224,9111879000,119725100617.0,12.0823,0.00299
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-27,4053.6224,4045.279,3986.738,4047.736,3991.207,10515357700,140516907102.4,-62.4154,-0.015397
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-28,3991.207,3992.997,3980.2358,4036.6975,4018.8974,11854288600,153636695762.0,27.6904,0.006938
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2017-12-29,4018.8974,4022.882,4012.874,4043.14,4030.854,9048668300,121257038529.3,11.9566,0.002975
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-02,4030.854,4045.2086,4045.2086,4087.7789,4087.4012,14693543500,178402032875.0,56.5472,0.014029
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-03,4087.4012,4091.46,4088.73,4140.054,4111.392,15185221800,205726889555.6,23.9908,0.005869
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-04,4111.392,4114.121,4105.885,4137.642,4128.811,13454379400,174523556132.8,17.419,0.004237
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-05,4128.811,4133.343,4123.281,4151.281,4138.75,14900987200,185206293226.2,9.939,0.002407
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-08,4138.75,4140.854,4127.308,4166.318,4160.159,17387766600,226403872931.9,21.409,0.005173
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-09,4160.159,4157.5394,4153.5021,4191.2843,4189.2977,13903429400,181975079758.0,29.1387,0.007004
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-10,4189.2977,4187.204,4175.135,4211.054,4207.813,15112166600,194850253885.9,18.5153,0.00442
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-11,4207.813,4197.1136,4181.9572,4211.799,4205.5863,12157853900,170407305946.0,-2.2267,-0.000529
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-12,4205.5863,4205.144,4199.025,4227.392,4225.001,11135479400,157606210634.7,19.4147,0.004616
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-15,4225.001,4229.835,4216.358,4262.931,4225.239,17090789700,234986586087.9,0.238,5.6e-05
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-16,4225.239,4215.6247,4213.1275,4260.2118,4258.473,16149496300,228271224756.0,33.234,0.007866
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-17,4258.473,4261.7833,4230.5367,4283.3449,4248.1164,21431103200,284554359815.0,-10.3566,-0.002432
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-18,4248.1164,4259.375,4246.684,4292.6372,4271.4168,17203284600,225289688909.0,23.3004,0.005485
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-19,4271.4168,4281.9371,4269.6167,4316.5714,4285.395,20949057000,258554725360.0,13.9782,0.003272
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-22,4285.395,4276.481,4275.897,4338.483,4336.597,17464319500,233960223311.4,51.202,0.011948
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-23,4336.597,4346.888,4346.792,4383.572,4382.612,20186758500,257113359897.2,46.015,0.010611
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-24,4382.612,4389.454,4349.086,4397.819,4389.885,21981888900,284470809529.6,7.273,0.00166
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-25,4389.885,4381.976,4336.238,4392.196,4365.079,19537495000,250308091870.3,-24.806,-0.005651
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-26,4365.079,4352.221,4351.487,4403.337,4381.299,17722723700,223331309121.7,16.22,0.003716
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-29,4381.299,4387.057,4287.112,4395.905,4302.018,19110035400,256176323789.0,-79.281,-0.018095
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-30,4302.018,4286.683,4251.57,4308.511,4256.102,13903473000,186650566154.5,-45.916,-0.010673
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-01-31,4256.102,4234.11,4232.772,4287.857,4275.898,14521016400,194401798025.2,19.796,0.004651
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-01,4275.898,4276.3425,4214.2909,4287.3888,4245.8978,19000293400,239230298933.0,-30.0002,-0.007016
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-02,4245.8978,4213.938,4181.779,4271.764,4271.232,14606682700,191169867287.5,25.3342,0.005967
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-05,4271.232,4204.458,4200.14,4274.146,4274.146,16134779900,217360144504.3,2.914,0.000682
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-06,4274.146,4182.3257,4131.5562,4211.5234,4148.8856,21491045000,279415083155.0,-125.2604,-0.029307
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-07,4148.8856,4205.736,4048.422,4212.567,4050.497,20312749300,261507027390.8,-98.3886,-0.023714
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-08,4050.497,4022.88,3974.677,4071.665,4012.047,15926998500,199061771954.8,-38.45,-0.009493
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-09,4012.047,3896.169,3759.146,3911.291,3840.652,20634982800,246774828431.2,-171.395,-0.04272
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-12,3840.652,3846.267,3828.069,3907.843,3890.104,11618263700,149858043556.2,49.452,0.012876
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-13,3890.104,3925.595,3925.595,3986.98,3935.632,11256588500,144479354377.4,45.528,0.011704
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-14,3935.632,3945.094,3923.126,3971.404,3966.961,7108133800,93110201389.7,31.329,0.00796
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-22,3966.961,4020.9731,4009.9202,4058.7878,4052.7332,10581157100,138334361735.0,85.7722,0.021622
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-23,4052.7332,4061.754,4035.231,4085.2,4071.088,9945874600,128195835194.2,18.3548,0.004529
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-26,4071.088,4093.3988,4048.9834,4128.7435,4118.4186,13788100100,179013093605.0,47.3306,0.011626
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-27,4118.4186,4120.871,4051.805,4120.871,4058.98,12593447000,169684900953.8,-59.4386,-0.014432
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-02-28,4058.98,4016.791,3991.706,4051.712,4023.641,10934359300,152493909261.7,-35.339,-0.008706
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-01,4023.641,3994.868,3986.894,4061.032,4049.086,11019985200,146003456663.2,25.445,0.006324
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-02,4049.086,4014.951,4006.9435,4044.4183,4016.461,9616500000,130931181201.0,-32.625,-0.008057
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-05,4016.461,4021.657,3995.871,4042.834,4018.097,8795254800,118197859451.5,1.636,0.000407
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-06,4018.097,4034.985,3998.931,4067.552,4066.564,13876244400,171370654135.6,48.467,0.012062
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-07,4066.564,4063.502,4027.936,4089.696,4036.653,10695242600,136572305559.6,-29.911,-0.007355
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-08,4036.653,4038.952,4029.714,4078.226,4077.6,9115581000,123634637120.2,40.947,0.010144
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-09,4077.6,4088.07,4076.453,4110.673,4108.865,11370180800,150024119650.6,31.265,0.007668
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-12,4108.865,4130.708,4112.765,4139.525,4127.666,14090673900,190367593785.5,18.801,0.004576
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-13,4127.666,4124.331,4087.562,4130.282,4091.253,11176643000,141174160637.5,-36.413,-0.008822
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-14,4091.253,4076.062,4066.489,4089.094,4073.344,9901340900,131537959370.1,-17.909,-0.004377
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-15,4073.344,4058.705,4058.705,4098.989,4096.162,8816115600,126882452701.7,22.818,0.005602
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-16,4096.162,4096.885,4055.822,4110.045,4056.422,8489618800,122125342026.9,-39.74,-0.009702
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-19,4056.422,4054.616,4033.521,4074.518,4074.247,8150288200,118183815140.4,17.825,0.004394
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-20,4074.247,4045.742,4040.308,4080.192,4077.704,8060528000,111980234031.1,3.457,0.000849
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-21,4077.704,4097.024,4046.24,4110.115,4061.05,9760948800,139330411871.3,-16.654,-0.004084
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-22,4061.05,4062.066,4003.721,4072.377,4020.349,8909525900,127664337989.9,-40.701,-0.010022
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-23,4020.349,3896.735,3834.937,3928.511,3904.935,18008044900,218905031316.7,-115.414,-0.028707
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-26,3904.935,3862.694,3829.915,3883.901,3879.893,11513912800,156604527227.4,-25.042,-0.006413
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-27,3879.893,3927.492,3881.872,3936.778,3913.268,11370071100,162291546573.1,33.375,0.008602
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-28,3913.268,3865.045,3835.882,3907.281,3842.715,10149490800,155848951057.4,-70.553,-0.018029
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-29,3842.715,3854.591,3794.261,3913.957,3894.049,11662906600,164996782981.0,51.334,0.013359
399300.ZICN,399300,中证指数有限公司,沪深300,XSHE,2018-03-30,3894.049,3893.746,3879.212,3915.347,3898.497,9751227000,137959280454.5,4.448,0.001142
