date,open,high,low,close,volume,turnover,open_adj,high_adj,low_adj,close_adj,volume_adj
2015-05-29,4839.53,4924.303,4665.521,4840.8290000000015,42787885900,636008152610.0,4839.53,4924.303,4665.521,4840.8290000000015,42787885900
2015-06-01,4862.7559999999985,5079.319,4835.774,5076.179,41750374100,637843681462.0,4862.7559999999985,5079.319,4835.774,5076.179,41750374100
2015-06-02,5091.272,5162.556,5047.081,5161.87,41297319600,658452859697.0,5091.272,5162.556,5047.081,5161.87,41297319600
2015-06-03,5176.597,5186.9670000000015,5059.495,5143.59,41425827000,672056532157.0,5176.597,5186.9670000000015,5059.495,5143.59,41425827000
2015-06-04,5156.012,5194.233,4863.465,5181.416,48276726800,735170669363.0,5156.012,5194.233,4863.465,5181.416,48276726800
2015-06-05,5254.905,5288.34,5104.178,5230.552,54596119600,855224403052.0,5254.905,5288.34,5104.178,5230.552,54596119600
2015-06-08,5259.408,5370.609,5202.595,5353.751,63731323700,949498013951.0,5259.408,5370.609,5202.595,5353.751,63731323700
2015-06-09,5379.47,5380.426,5251.208000000001,5317.460999999998,57042726300,871431819564.0,5379.47,5380.426,5251.208000000001,5317.460999999998,57042726300
2015-06-10,5254.304,5374.83,5209.68,5309.111999999999,44216567600,711509256785.0,5254.304,5374.83,5209.68,5309.111999999999,44216567600
2015-06-11,5305.141,5329.295,5248.163000000001,5306.59,39233875500,660584867997.0,5305.141,5329.295,5248.163000000001,5306.59,39233875500
2015-06-12,5329.278,5351.648,5283.085999999998,5335.115,43013138600,694213173337.0,5329.278,5351.648,5283.085999999998,5335.115,43013138600
2015-06-15,5354.014,5362.451999999998,5207.308,5221.167,47574570300,766237730233.0,5354.014,5362.451999999998,5207.308,5221.167,47574570300
2015-06-16,5165.025,5204.303,5015.265,5064.821,41167563800,651522532247.0,5165.025,5204.303,5015.265,5064.821,41167563800
2015-06-17,5072.306,5158.367,4949.293,5138.831,39712418700,589868366440.0,5072.306,5158.367,4949.293,5138.831,39712418700
2015-06-18,5107.695,5121.218,4926.429,4930.549,36439581400,555646755662.0,5107.695,5121.218,4926.429,4930.549,36439581400
2015-06-19,4847.057,4910.45,4634.691,4637.052,35810474400,519609575034.0,4847.057,4910.45,4634.691,4637.052,35810474400
2015-06-23,4641.425,4786.955,4455.33,4786.0909999999985,36508794400,536984113004.0,4641.425,4786.955,4455.33,4786.0909999999985,36508794400
2015-06-24,4811.595,4883.732,4744.306,4880.126,43463872300,615374085939.0,4811.595,4883.732,4744.306,4880.126,43463872300
2015-06-25,4906.242,4919.263,4667.224,4706.516,44613598200,640246401379.0,4906.242,4919.263,4667.224,4706.516,44613598200
2015-06-26,4573.872,4650.186,4278.675,4336.195,44663979000,612959478689.0,4573.872,4650.186,4278.675,4336.195,44663979000
2015-06-29,4446.8420000000015,4451.166,4000.926,4191.549,52566248200,704014548847.0,4446.8420000000015,4451.166,4000.926,4191.549,52566248200
2015-06-30,4161.067,4475.767,4016.013,4472.998,52704528000,716045824698.0,4161.067,4475.767,4016.013,4472.998,52704528000
2015-07-01,4408.984,4526.127,4235.696,4253.021,43172141100,623330596858.0,4408.984,4526.127,4235.696,4253.021,43172141100
2015-07-02,4287.734,4312.19,4000.061,4107.996,45706219400,593506685518.0,4287.734,4312.19,4000.061,4107.996,45706219400
2015-07-03,4017.202,4164.629,3785.902,3885.917,42930085000,538216869728.0,4017.202,4164.629,3785.902,3885.917,42930085000
2015-07-06,4218.266,4218.266,3832.468,3998.537,64809453000,779558044352.0,4218.266,4218.266,3832.468,3998.537,64809453000
2015-07-07,3877.854,3960.636,3743.624,3928.003,67938500700,795962644454.0,3877.854,3960.636,3743.624,3928.003,67938500700
2015-07-08,3651.06,3762.622,3612.254,3663.038,58146709700,640122398881.0,3651.06,3762.622,3612.254,3663.038,58146709700
2015-07-09,3621.68,3930.264,3537.826,3897.626,50387061000,564744043358.0,3621.68,3930.264,3537.826,3897.626,50387061000
2015-07-10,3916.272,4179.111,3887.551,4106.556,50070180200,629079512954.0,3916.272,4179.111,3887.551,4106.556,50070180200
2015-07-13,4132.231,4278.161,4072.43,4211.812,50209218600,659251724205.0,4132.231,4278.161,4072.43,4211.812,50209218600
