unit,ticker,barTime,closePrice,dataDate,highPrice,lowPrice,openPrice,shortNM,totalValue,totalVolume,vwap,tradeDate
30,399300,11:00,3405.148,2017-05-04,3408.481,3401.524,3403.223,沪深300,9881162540.4,888678000,3405.2434,20170504
30,399300,11:30,3412.485,2017-05-04,3413.142,3404.516,3405.175,沪深300,10198356578.0,946985300,3409.4268,20170504
30,399300,13:30,3419.824,2017-05-04,3420.358,3410.39,3412.841,沪深300,11772186426.9,1083890300,3414.3314,20170504
30,399300,14:00,3410.43,2017-05-04,3421.395,3408.526,3420.16,沪深300,13307012390.4,1314290800,3413.4816,20170504
30,399300,14:30,3406.232,2017-05-04,3411.713,3405.651,3409.416,沪深300,9383251935.0,828682200,3408.6739,20170504
30,399300,15:00,3404.386,2017-05-04,3406.549,3398.887,3406.212,沪深300,16535716666.0,1527990200,3402.4463,20170504
30,399300,10:00,3386.914,2017-05-05,3395.453,3378.374,3393.483,沪深300,23478293741.7,2276220000,3388.3202,20170505
30,399300,10:30,3384.022,2017-05-05,3387.829,3378.825,3386.404,沪深300,15537895523.5,1382416900,3384.1035,20170505
30,399300,11:00,3376.97,2017-05-05,3383.973,3375.464,3383.95,沪深300,11842977425.7,1051938500,3379.832,20170505
30,399300,11:30,3380.455,2017-05-05,3381.412,3366.556,3377.011,沪深300,12052718025.8,1172673300,3374.2647,20170505
30,399300,13:30,3376.588,2017-05-05,3382.049,3372.142,3381.271,沪深300,8333964931.3,768029100,3376.0599,20170505
30,399300,14:00,3375.705,2017-05-05,3379.37,3372.253,3376.624,沪深300,9460292407.1,867785000,3376.1948,20170505
30,399300,14:30,3374.812,2017-05-05,3378.815,3372.005,3375.236,沪深300,11190503527.5,993689100,3375.988,20170505
30,399300,15:00,3382.55,2017-05-05,3382.97,3374.415,3374.834,沪深300,24779382874.7,2392649000,3378.5584,20170505
30,399300,10:00,3361.503,2017-05-08,3374.157,3361.386,3369.108,沪深300,18441498461.4,1660189200,3367.6482,20170508
30,399300,10:30,3365.839,2017-05-08,3371.891,3355.141,3361.725,沪深300,15789631120.7,1463408000,3364.7639,20170508
30,399300,11:00,3359.862,2017-05-08,3365.865,3357.291,3365.585,沪深300,12581424614.2,1233843100,3361.4087,20170508
30,399300,11:30,3350.615,2017-05-08,3360.728,3348.444,3360.201,沪深300,11707668439.0,1165464200,3354.0864,20170508
30,399300,13:30,3341.201,2017-05-08,3351.347,3340.967,3349.978,沪深300,11958079439.9,1113436200,3347.2045,20170508
30,399300,14:00,3358.45,2017-05-08,3358.454,3339.574,3341.418,沪深300,12975028427.4,1169730100,3349.8519,20170508
30,399300,14:30,3365.243,2017-05-08,3365.589,3357.104,3358.242,沪深300,15010998577.0,1485293500,3361.2677,20170508
30,399300,15:00,3358.812,2017-05-08,3367.786,3356.408,3364.671,沪深300,27934713008.1,3034216500,3362.248,20170508
30,399300,10:00,3332.619,2017-05-09,3348.245,3331.489,3342.598,沪深300,19509170929.2,1789693700,3340.852,20170509
30,399300,10:30,3332.275,2017-05-09,3338.647,3330.553,3332.07,沪深300,12411745254.0,1101541100,3334.2319,20170509
30,399300,11:00,3347.227,2017-05-09,3347.835,3327.59,3332.281,沪深300,10884235898.1,951951500,3337.1663,20170509
30,399300,11:30,3349.817,2017-05-09,3358.046,3347.176,3347.23,沪深300,8753302265.4,803200400,3351.3591,20170509
30,399300,13:30,3343.404,2017-05-09,3351.669,3342.719,3350.236,沪深300,6161249503.9,556369900,3348.2224,20170509
30,399300,14:00,3343.966,2017-05-09,3344.236,3338.749,3342.919,沪深300,6221741664.3,541730300,3341.787,20170509
30,399300,14:30,3355.399,2017-05-09,3355.535,3343.098,3343.424,沪深300,8445280189.6,754779700,3349.0406,20170509
30,399300,15:00,3352.532,2017-05-09,3356.697,3348.887,3355.943,沪深300,12605968170.7,1120955600,3351.9188,20170509
30,399300,10:00,3364.015,2017-05-10,3367.342,3351.098,3350.65,沪深300,17540429630.0,1552229000,3360.6477,20170510
30,399300,10:30,3360.913,2017-05-10,3364.844,3357.527,3364.498,沪深300,11197123957.8,917796800,3361.0911,20170510
30,399300,11:00,3361.484,2017-05-10,3361.56,3355.081,3360.541,沪深300,8572630229.0,716266100,3358.0615,20170510
30,399300,11:30,3366.661,2017-05-10,3367.121,3357.864,3361.238,沪深300,10256724498.9,980659500,3361.6894,20170510
30,399300,13:30,3360.389,2017-05-10,3369.434,3359.875,3366.925,沪深300,12317752238.7,1102308100,3365.607,20170510
30,399300,14:00,3352.34,2017-05-10,3361.436,3351.04,3359.836,沪深300,10872278324.5,1020039700,3357.0659,20170510
30,399300,14:30,3351.287,2017-05-10,3358.476,3346.512,3351.997,沪深300,11729275577.5,1014233800,3353.2297,20170510
30,399300,15:00,3337.7,2017-05-10,3354.174,3336.003,3351.302,沪深300,19247925878.2,1870930700,3344.3598,20170510
30,399300,10:00,3337.948,2017-05-11,3338.303,3317.597,3322.945,沪深300,18772559532.6,1805781800,3330.7172,20170511
30,399300,10:30,3329.835,2017-05-11,3340.226,3325.943,3338.185,沪深300,13264350641.2,1301242000,3333.7271,20170511
30,399300,11:00,3334.012,2017-05-11,3339.344,3329.577,3330.364,沪深300,9706471384.4,937452000,3334.4733,20170511
30,399300,11:30,3334.29,2017-05-11,3340.488,3330.735,3334.208,沪深300,8649204291.1,796711900,3335.9687,20170511
30,399300,13:30,3318.454,2017-05-11,3334.272,3314.599,3334.272,沪深300,15442360918.1,1559458700,3321.4998,20170511
30,399300,14:00,3335.362,2017-05-11,3337.003,3312.892,3318.518,沪深300,16177002857.7,1654106300,3328.5504,20170511
30,399300,14:30,3347.007,2017-05-11,3350.938,3333.176,3335.486,沪深300,12632985628.3,1264067200,3341.5356,20170511
30,399300,15:00,3356.645,2017-05-11,3359.6,3346.977,3347.141,沪深300,16366903260.2,1551692400,3355.3122,20170511
30,399300,10:00,3361.491,2017-05-12,3362.13,3349.167,3350.937,沪深300,16502575404.8,1472708200,3357.5701,20170512
